Protein.Ids	Genes	STEM	ND	stemcell_NDislet_proteomics_FC	stemcell_NDislet_proteomics_adj_p_value
Q15393	SF3B3	74665	58131	1.2844378	2.67E-08
Q96EV2	RBM33	6550	4633	1.4138195	2.67E-08
Q8N183	NDUFAF2	7950	16043	0.4955515	2.76E-08
Q15363	TMED2	57055	106303	0.5367215	2.79E-08
P26368	U2AF2	86128	65399	1.316963	2.80E-08
Q9H4M9	EHD1	50410	63205	0.7975669	2.80E-08
Q01415	GALK2	23073	39726	0.5808023	2.81E-08
Q13868	EXOSC2	20432	14625	1.3970789	2.83E-08
P17931	LGALS3	14157	61519	0.2301306	2.84E-08
Q03519	TAP2	6691	19873	0.3366799	2.84E-08
Q12913	PTPRJ	5374	10017	0.5364631	2.91E-08
Q9UPR5	SLC8A2	3859	12985	0.2972113	2.91E-08
Q8WZA9	IRGQ	35118	20657	1.7000291	2.96E-08
Q01433	AMPD2	83768	120510	0.6951135	2.99E-08
Q14651	PLS1	13514	26536	0.5092766	3.00E-08
Q03252	LMNB2	156989	258712	0.6068109	3.01E-08
P51688	SGSH	84428	25630	3.2941698	3.02E-08
P30044	PRDX5	190545	269976	0.705786	3.04E-08
Q8WVT3	TRAPPC12	6880	8984	0.7658032	3.05E-08
Q16576	RBBP7	74885	48755	1.5359259	3.07E-08
P15144	ANPEP	8928	28410	0.3142605	3.07E-08
Q9HD20	ATP13A1	23732	31850	0.7451179	3.15E-08
Q96A72	MAGOHB	91916	64976	1.414625	3.17E-08
O75864	PPP1R37	2313	3544	0.6527449	3.25E-08
Q92685	ALG3	2559	5201	0.49207	3.29E-08
P13984	GTF2F2	11412	8247	1.3837657	3.33E-08
Q9UBU9	NXF1	37676	28371	1.3279974	3.35E-08
P61923	COPZ1	49685	78091	0.6362412	3.36E-08
P49641	MAN2A2	4400	6976	0.6307512	3.38E-08
Q96RP9	GFM1	36408	49485	0.7357289	3.39E-08
Q9H4A6	GOLPH3	8290	13882	0.5971628	3.40E-08
P09488	GSTM1	36309	25756	1.4097236	3.43E-08
P06276	BCHE	6479	3362	1.9272993	3.44E-08
P53985	SLC16A1	4908	772	6.3616037	3.45E-08
Q15365	PCBP1	292441	261019	1.1203825	3.50E-08
Q9GZQ3	COMMD5	8976	12170	0.7375662	3.53E-08
Q96PE7	MCEE	9077	17667	0.5137519	3.53E-08
Q96PY6	NEK1	4280	7643	0.5599724	3.56E-08
Q96GM5	SMARCD1	18458	7991	2.3098432	3.57E-08
O75410	TACC1	5874	10309	0.569822	3.59E-08
Q9Y3Q8	TSC22D4	3727	5910	0.6305197	3.60E-08
Q9UI36	DACH1	14078	8401	1.6757527	3.62E-08
P48052	CPA2	3457	93279	0.0370652	3.62E-08
P10515	DLAT	46286	89035	0.519864	3.63E-08
Q9Y2U8	LEMD3	5054	7100	0.7119237	3.63E-08
Q14534	SQLE	3200	1751	1.8277385	3.71E-08
Q9H061	TMEM126A	19204	31383	0.6119208	3.72E-08
Q9H173	SIL1	24466	54134	0.4519452	3.72E-08
Q9Y6K8	AK5	1480	280	5.2769977	3.73E-08
Q8TAM2	TTC8	3173	4873	0.6512068	3.74E-08
Q9H5V8	CDCP1	9155	13374	0.6845483	3.74E-08
Q13185	CBX3	24470	13288	1.841565	3.75E-08
Q9Y2V2	CARHSP1	18684	12634	1.4787933	3.76E-08
Q09666	AHNAK	13033	43154	0.3020109	3.78E-08
A0AV96	RBM47	4712	9495	0.4962683	3.80E-08
Q71SY5	MED25	4540	3052	1.4879255	3.80E-08
Q96IP4	TENT5A	2754	6731	0.4092084	3.84E-08
Q96F85	CNRIP1	2249	12949	0.1737157	3.92E-08
P51159	RAB27A	27566	69487	0.3967126	3.93E-08
Q5JSZ5	PRRC2B	6538	8380	0.7801366	3.94E-08
Q07960	ARHGAP1	62414	108597	0.5747294	3.95E-08
Q8TAF3	WDR48	10886	7332	1.4847184	3.95E-08
Q12768	WASHC5	15987	20611	0.7756533	3.97E-08
Q96JQ2	CLMN	2881	9582	0.3006239	4.10E-08
O15260	SURF4	101791	189655	0.5367182	4.15E-08
P21926	CD9	2085	29811	0.0699294	4.17E-08
Q8WTV0	SCARB1	6938	4387	1.5815606	4.19E-08
Q96PZ0	PUS7	16004	11203	1.4286125	4.30E-08
Q15631	TSN	43608	62925	0.6930173	4.32E-08
O76071	CIAO1	12995	10317	1.259558	4.32E-08
Q8IZ81	ELMOD2	36504	27958	1.3056436	4.36E-08
Q9BQ95	ECSIT	7825	10400	0.7523332	4.38E-08
P38919	EIF4A3	121615	94556	1.2861697	4.40E-08
Q12874	SF3A3	41207	31919	1.2909868	4.41E-08
Q9NVT9	ARMC1	13875	19283	0.719543	4.41E-08
Q9HCN8	SDF2L1	7110	12590	0.5647334	4.45E-08
Q9Y2Q9	MRPS28	19200	28094	0.6834234	4.53E-08
Q03518	TAP1	2257	7558	0.2986111	4.56E-08
Q13618	CUL3	24918	30926	0.8057398	4.58E-08
Q13596	SNX1	24395	32819	0.7433205	4.61E-08
Q4G0F5	VPS26B	27899	42417	0.6577281	4.62E-08
Q9NXC5	MIOS	8949	12042	0.7431436	4.63E-08
O95758	PTBP3	27685	41763	0.6629215	4.72E-08
Q9Y617	PSAT1	54183	31128	1.7406741	4.72E-08
P48651	PTDSS1	5281	7351	0.7184232	4.75E-08
O60244	MED14	4709	3225	1.4603312	4.77E-08
Q5JSP0	FGD3	3932	2540	1.5478328	4.77E-08
Q9Y5K6	CD2AP	23216	38334	0.6056356	4.77E-08
P54646	PRKAA2	6330	3982	1.5895782	4.77E-08
P28289	TMOD1	16096	49943	0.3222781	4.77E-08
P08865	RPSA	164971	209959	0.7857295	4.87E-08
Q9UH92	MLX	1564	3204	0.4882823	4.88E-08
P78382	SLC35A1	765	2164	0.3536524	4.89E-08
Q01995	TAGLN	8835	58483	0.1510762	4.91E-08
O43581	SYT7	19391	41189	0.4707893	4.97E-08
Q96SB3	PPP1R9B	7965	11198	0.7113373	4.98E-08
P53672	CRYBA2	33243	11114	2.9909615	5.01E-08
P09936	UCHL1	301115	465604	0.6467183	5.00E-08
Q9HCG7	GBA2	4540	2690	1.6874235	5.01E-08
P42166	TMPO	12065	4861	2.4820131	5.02E-08
Q9NPD3	EXOSC4	19381	13312	1.4558494	5.12E-08
Q9BZG1	RAB34	1986	908	2.1874018	5.15E-08
P50479	PDLIM4	9903	15711	0.6302907	5.23E-08
Q9UPM8	AP4E1	7656	4111	1.8623627	5.23E-08
Q96EB6	SIRT1	4873	3182	1.5312641	5.29E-08
Q14894	CRYM	1753	551	3.1804714	5.34E-08
Q99613	EIF3C	78821	92324	0.853739	5.36E-08
P03915	MT-ND5	13655	22507	0.6067322	5.39E-08
Q6PCB7	SLC27A1	5801	10678	0.5432345	5.43E-08
Q00341	HDLBP	52979	65397	0.8101133	5.44E-08
Q9BY44	EIF2A	23572	34130	0.6906608	5.47E-08
Q9P0S3	ORMDL1	2106	5083	0.414367	5.47E-08
Q8N4Y2	CRACR2B	818	2085	0.3923538	5.60E-08
Q9UHL4	DPP7	78172	240675	0.324805	5.60E-08
Q9NR12	PDLIM7	6246	11449	0.5455828	5.64E-08
P51649	ALDH5A1	26279	58581	0.4485905	5.66E-08
Q9Y3B7	MRPL11	17977	24544	0.7324501	5.67E-08
Q8IYJ3	SYTL1	12037	24742	0.4864933	5.71E-08
Q13356	PPIL2	4083	2548	1.6023811	5.74E-08
Q96RY7	IFT140	7690	5773	1.3320172	5.80E-08
Q9ULV0	MYO5B	6746	13449	0.5015787	5.82E-08
Q5T1M5	FKBP15	6932	10404	0.6662499	5.87E-08
Q99447	PCYT2	31704	19553	1.6214514	5.87E-08
Q09028	RBBP4	51302	28340	1.8102127	5.92E-08
Q9NR19	ACSS2	18504	11174	1.6560026	5.93E-08
Q9Y2T2	AP3M1	26038	32413	0.8033249	5.94E-08
Q14165	MLEC	47983	67580	0.7100144	5.94E-08
Q9NU23	LYRM2	2845	4577	0.6214334	5.98E-08
O15091	PRORP	4472	6410	0.6975889	6.01E-08
O43752	STX6	7757	13427	0.5776863	6.06E-08
Q86X19	TMEM17	5863	10104	0.5802406	6.09E-08
Q9NWT6	HIF1AN	13830	10657	1.2977616	6.11E-08
P54578	USP14	55453	46388	1.1954183	6.10E-08
O75147	OBSL1	10017	3400	2.9462907	6.25E-08
Q3SXM5	HSDL1	53201	39239	1.3558397	6.26E-08
Q8IXT5	RBM12B	18843	13577	1.387835	6.29E-08
Q09428	ABCC8	13284	34588	0.384059	6.37E-08
Q15149	PLEC	68189	129368	0.5270944	6.40E-08
Q9ULM3	YEATS2	4313	3168	1.3613944	6.40E-08
Q7L2H7	EIF3M	13431	17621	0.7622294	6.45E-08
Q9Y5T5	USP16	4748	7615	0.623532	6.45E-08
P29353	SHC1	2859	5391	0.5304264	6.49E-08
Q96CS3	FAF2	31853	36925	0.8626393	6.52E-08
Q17RN3	FAM98C	3509	6697	0.5239529	6.54E-08
A6NJ78	METTL15	3130	4711	0.6644521	6.61E-08
O75503	CLN5	15686	8519	1.8412853	6.64E-08
P20339	RAB5A	98358	142400	0.6907178	6.72E-08
O00303	EIF3F	47264	59441	0.7951428	6.76E-08
Q68E01	INTS3	9735	7546	1.2901888	6.77E-08
Q9ULU4	ZMYND8	8971	6557	1.3682615	6.77E-08
Q5T2T1	MPP7	3903	8915	0.4378474	6.80E-08
P32004	L1CAM	4897	2502	1.9567658	6.83E-08
Q8WXI9	GATAD2B	13730	10379	1.3228434	6.90E-08
Q9BUR5	APOO	21889	42924	0.5099492	6.92E-08
P29692	EEF1D	148937	202213	0.7365347	6.93E-08
Q14694	USP10	20911	16622	1.2580767	6.93E-08
P62633	CNBP	7341	3473	2.1136272	6.93E-08
Q9Y3Z3	SAMHD1	31254	44858	0.6967381	6.97E-08
Q9UNL2	SSR3	10323	20545	0.5024647	7.11E-08
Q9Y6R0	NUMBL	7380	12313	0.5993835	7.12E-08
O95299	NDUFA10	24579	34804	0.7062219	7.14E-08
P52630	STAT2	5484	4071	1.3471669	7.14E-08
Q13547	HDAC1	84193	65505	1.2852855	7.15E-08
Q8N684	CPSF7	56906	43043	1.322052	7.28E-08
Q6P4A7	SFXN4	3355	4913	0.6828943	7.39E-08
Q9UNN5	FAF1	11618	14429	0.8051616	7.38E-08
Q8IWQ3	BRSK2	3845	2441	1.5748986	7.39E-08
Q9Y5A7	NUB1	6366	8918	0.7137828	7.50E-08
Q9UBT2	UBA2	63477	48748	1.302136	7.50E-08
P20338	RAB4A	26797	22507	1.1905683	7.74E-08
P50995	ANXA11	26419	72846	0.3626701	7.73E-08
Q9BVC6	TMEM109	68447	162688	0.4207258	7.73E-08
P62826	RAN	699975	560128	1.2496709	7.91E-08
P52657	GTF2A2	8257	6044	1.3661055	7.93E-08
P42356	PI4KA	25298	17263	1.4654485	7.94E-08
Q8IUH3	RBM45	5408	4158	1.3004988	8.13E-08
Q9HC52	CBX8	7892	5981	1.3194686	8.14E-08
O60443	GSDME	5762	2402	2.3989454	8.20E-08
O75534	CSDE1	38319	49427	0.7752799	8.21E-08
Q96QC0	PPP1R10	16223	11848	1.3692709	8.24E-08
Q96JJ7	TMX3	19427	30764	0.631466	8.36E-08
P34913	EPHX2	41136	61028	0.6740578	8.40E-08
O00214	LGALS8	3661	6084	0.6017255	8.40E-08
Q96I24	FUBP3	49164	40458	1.2151834	8.45E-08
Q15477	SKIV2L	19957	25380	0.786338	8.53E-08
Q8IYK8	REM2	12612	5272	2.3923743	8.59E-08
Q9UL42	PNMA2	2079	5907	0.3519137	8.63E-08
Q92688	ANP32B	176309	133740	1.3182951	8.67E-08
Q9HBL7	PLGRKT	9801	19349	0.5065192	8.73E-08
Q9H2W6	MRPL46	16416	20236	0.8112018	8.74E-08
Q7Z7M0	MEGF8	2844	1792	1.5867681	8.89E-08
Q96S52	PIGS	14429	10405	1.3866973	8.90E-08
Q15208	STK38	10101	7267	1.3899608	8.96E-08
Q9BW62	KATNAL1	6448	4760	1.3546511	9.02E-08
Q00403	GTF2B	6830	5510	1.2394102	9.05E-08
Q75QN2	INTS8	9043	6722	1.3454095	9.07E-08
P61758	VBP1	13537	11076	1.2221922	9.09E-08
Q12872	SFSWAP	9575	7130	1.3428042	9.14E-08
Q13177	PAK2	44763	36526	1.225502	9.25E-08
P40763	STAT3	20013	34491	0.5802536	9.47E-08
Q13123	IK	24280	18940	1.2819656	9.57E-08
Q8TDZ2	MICAL1	16770	11394	1.4718594	9.57E-08
Q9BVK6	TMED9	249694	386311	0.6463546	9.66E-08
Q9UKR5	ERG28	50654	34539	1.4665627	9.72E-08
Q8WTS6	SETD7	3495	7213	0.4845929	9.83E-08
Q86Y56	DNAAF5	9636	6253	1.5410966	9.84E-08
P13521	SCG2	33337	66612	0.5004688	1.00E-07
Q9H6R0	DHX33	2555	5190	0.4923649	1.01E-07
Q6ZNB6	NFXL1	3358	5168	0.6497063	1.02E-07
O75746	SLC25A12	75860	136062	0.5575388	1.03E-07
Q8N8L6	ARL10.00	13997	8834	1.5845598	1.03E-07
P20810	CAST	14167	31220	0.4537769	1.03E-07
Q5VZL5	ZMYM4	4942	2655	1.8611716	1.04E-07
Q92484	SMPDL3A	19751	12212	1.6174125	1.04E-07
Q13573	SNW1	26847	21169	1.2682017	1.04E-07
Q6P1S2	C3orf33	2906	4798	0.6057263	1.04E-07
Q15042	RAB3GAP1	16453	20717	0.7941639	1.05E-07
Q8IWP9	CCDC28A	841	1753	0.4795701	1.06E-07
O15067	PFAS	37327	21537	1.7331768	1.06E-07
P14859	POU2F1	8981	5711	1.572492	1.07E-07
P07355	ANXA2	123513	564104	0.218955	1.07E-07
Q9Y6G5	COMMD10	7278	9589	0.7589752	1.07E-07
Q7KZF4	SND1	218476	278519	0.7844185	1.07E-07
P25686	DNAJB2	10578	16041	0.6594655	1.08E-07
Q9UK61	TASOR	7045	5633	1.2506583	1.09E-07
Q9H3H1	TRIT1	3726	6302	0.5911363	1.09E-07
Q15084	PDIA6	121674	173020	0.7032354	1.10E-07
P39060	COL18A1	38299	11434	3.349479	1.11E-07
O15270	SPTLC2	6051	4384	1.3800846	1.12E-07
Q9Y2C4	EXOG	3714	5268	0.7050519	1.12E-07
Q8N9M1	C19orf47	5465	4214	1.2967488	1.12E-07
Q12792	TWF1	35393	50691	0.6982124	1.12E-07
Q8N5J2	MINDY1	10820	17002	0.6364287	1.12E-07
Q53GL7	PARP10	1917	4053	0.4730905	1.13E-07
P35573	AGL	35754	22645	1.578898	1.13E-07
Q9NYY8	FASTKD2	1731	2890	0.5988413	1.14E-07
Q969T7	NT5C3B	3806	2558	1.4877833	1.14E-07
P10768	ESD	214063	266310	0.8038129	1.14E-07
Q12765	SCRN1	93567	144085	0.6493879	1.15E-07
Q14814	MEF2D	4738	8076	0.5866626	1.17E-07
Q2M3G4	SHROOM1	499	2081	0.2398702	1.17E-07
O75884	RBBP9	27975	21435	1.3051468	1.19E-07
P63218	GNG5	12013	7171	1.6752724	1.21E-07
P33992	MCM5	20989	3995	5.2541681	1.21E-07
Q5VV41	ARHGEF16	12776	9681	1.3197505	1.21E-07
P62487	POLR2G	6281	4973	1.2630444	1.22E-07
Q8NB90	SPATA5	5896	8179	0.7208522	1.22E-07
P32121	ARRB2	7690	4903	1.5686033	1.22E-07
P46100	ATRX	14649	11052	1.3254982	1.22E-07
Q8N1G0	ZNF687	9698	7170	1.3525146	1.23E-07
Q13242	SRSF9	106505	59683	1.7845257	1.23E-07
P07711	CTSL	3298	6309	0.5228226	1.23E-07
Q08629	SPOCK1	8795	3667	2.3980769	1.23E-07
Q8IWZ6	BBS7	3433	4856	0.7070372	1.24E-07
Q8N6L1	KRTCAP2	20730	34095	0.6080232	1.25E-07
Q9Y4C2	TCAF1	32817	18291	1.7941883	1.25E-07
P51531	SMARCA2	24718	21566	1.1461518	1.25E-07
O14950	MYL12B	81035	137560	0.5890873	1.26E-07
P53602	MVD	37802	20982	1.8016822	1.27E-07
Q8IXQ6	PARP9	8898	11752	0.7571933	1.29E-07
P03950	ANG	11783	6774	1.7394268	1.29E-07
Q9Y5K5	UCHL5	28645	34456	0.8313588	1.31E-07
Q9UGM3	DMBT1	10922	5000	2.1843167	1.31E-07
Q6UWP7	LCLAT1	22403	31120	0.7198791	1.31E-07
P49458	SRP9	54265	28651	1.8940246	1.33E-07
P06748	NPM1	366871	244399	1.5011165	1.33E-07
Q68CP9	ARID2	6514	4083	1.5952731	1.34E-07
Q96K49	TMEM87B	5492	13466	0.4078242	1.34E-07
Q96T54	KCNK17	19414	4168	4.6581618	1.36E-07
P43686	PSMC4	57614	51663	1.1151787	1.36E-07
Q96FZ5	CMTM7	8703	12987	0.670145	1.38E-07
Q92615	LARP4B	13358	15814	0.8446614	1.39E-07
Q9BYN0	SRXN1	3557	11475	0.3099857	1.39E-07
Q8TEQ8	PIGO	4367	6546	0.6671303	1.40E-07
Q6P3W7	SCYL2	12991	8373	1.551616	1.40E-07
Q96H78	SLC25A44	1921	3737	0.5140174	1.40E-07
Q9P2P5	HECW2	7197	4118	1.7476841	1.40E-07
P0DN79	CBSL	18513	4956	3.735214	1.40E-07
Q99816	TSG101	27284	32849	0.8305777	1.41E-07
Q93050	ATP6V0A1	72604	122867	0.5909133	1.44E-07
Q8TAG9	EXOC6	7222	10187	0.7089265	1.44E-07
Q9Y4F5	CEP170B	3990	6324	0.6310188	1.44E-07
Q6P587	FAHD1	18924	12333	1.5344875	1.44E-07
P12830	CDH1	24078	40757	0.5907812	1.44E-07
Q02952	AKAP12	9859	18015	0.5472646	1.44E-07
Q6P1M0	SLC27A4	14090	20364	0.6919002	1.44E-07
Q16877	PFKFB4	21061	13954	1.5093021	1.44E-07
O95096	NKX2-2	3397	5445	0.6237943	1.45E-07
P43243	MATR3	212167	153899	1.3786057	1.45E-07
Q9H074	PAIP1	19681	14926	1.3185413	1.47E-07
Q03135	CAV1	7790	55366	0.1406983	1.48E-07
Q96IW7	SEC22A	3799	5402	0.7032137	1.48E-07
Q13190	STX5	10904	14887	0.7324242	1.50E-07
Q9H6E4	CCDC134	4785	2850	1.6786751	1.51E-07
Q86Y79	PTRH1	4983	8176	0.6095101	1.51E-07
Q13084	MRPL28	8339	10775	0.7738895	1.51E-07
P30043	BLVRB	21295	63103	0.3374606	1.51E-07
Q8IZE3	SCYL3	9581	13666	0.7010692	1.52E-07
O60885	BRD4	15945	11090	1.4378409	1.52E-07
Q9UKM7	MAN1B1	13669	21631	0.6318936	1.53E-07
Q9HCE6	ARHGEF10L	18138	10917	1.6614629	1.53E-07
Q9NVG8	TBC1D13	13175	9746	1.3518844	1.53E-07
Q68DK2	ZFYVE26	3035	1968	1.5423923	1.53E-07
P07225	PROS1	14429	24062	0.5996658	1.53E-07
Q99459	CDC5L	62153	50335	1.2347913	1.53E-07
Q6XQN6	NAPRT	14193	22311	0.6361537	1.54E-07
O43252	PAPSS1	33454	24295	1.3769682	1.54E-07
Q13257	MAD2L1	9102	4217	2.1582674	1.54E-07
O14545	TRAFD1	5682	4617	1.2305621	1.55E-07
P52272	HNRNPM	370819	279206	1.3281226	1.55E-07
Q96IZ0	PAWR	4920	8558	0.5749421	1.55E-07
Q96BY7	ATG2B	5211	6525	0.7986204	1.55E-07
P10586	PTPRF	19999	15198	1.3158444	1.55E-07
Q9NQ34	TMEM9B	1937	4865	0.3981946	1.56E-07
Q9BSH4	TACO1	8196	11300	0.7252369	1.56E-07
Q9UBQ0	VPS29	46430	59496	0.7803885	1.56E-07
Q9UMS0	NFU1	13639	19814	0.6883617	1.57E-07
Q92620	DHX38	12317	9488	1.2981649	1.57E-07
Q9NX40	OCIAD1	56169	85804	0.6546225	1.59E-07
P48730	CSNK1D	16680	11617	1.43583	1.59E-07
O96000	NDUFB10	36763	52914	0.6947651	1.59E-07
Q9Y296	TRAPPC4	12276	16282	0.7539866	1.59E-07
Q9BV44	THUMPD3	5790	7740	0.7480099	1.60E-07
Q8NG27	PJA1	1078	1859	0.580194	1.60E-07
P0DP23	CALM1	27637	54879	0.5035885	1.61E-07
Q9HD26	GOPC	12149	17047	0.712692	1.64E-07
Q5T440	IBA57	12739	21299	0.5981091	1.64E-07
Q9Y3E1	HDGFL3	21861	34412	0.6352797	1.65E-07
Q5VZE5	NAA35	10251	8473	1.209803	1.66E-07
Q9H582	ZNF644	1634	990	1.651275	1.66E-07
Q9NW15	ANO10	3705	5636	0.6573429	1.68E-07
O75822	EIF3J	18856	26962	0.6993393	1.68E-07
Q9NVV5	AIG1	3105	4680	0.6633855	1.69E-07
P60510	PPP4C	33887	27062	1.2522199	1.70E-07
Q9NYM9	BET1L	2534	5108	0.4960086	1.71E-07
Q8N0X4	CLYBL	7168	13190	0.5434381	1.72E-07
Q92506	HSD17B8	62000	131425	0.4717483	1.75E-07
Q8WXA3	RUFY2	4776	8391	0.569205	1.75E-07
O43633	CHMP2A	25713	38318	0.6710293	1.75E-07
P61978	HNRNPK	422970	330017	1.2816622	1.77E-07
P42575	CASP2	1813	1136	1.5953102	1.77E-07
Q6PFW1	PPIP5K1	3804	6405	0.5938515	1.77E-07
Q13526	PIN1	35101	27352	1.2833364	1.78E-07
P61019	RAB2A	125237	189438	0.6610954	1.78E-07
Q9UI10	EIF2B4	30938	37416	0.8268631	1.78E-07
P42126	ECI1	69566	118967	0.5847511	1.78E-07
Q96HJ9	FMC1	26369	37638	0.700588	1.79E-07
Q13627	DYRK1A	4830	3743	1.2904167	1.79E-07
Q15750	TAB1	10253	8601	1.1921028	1.80E-07
P08397	HMBS	12056	8641	1.395269	1.80E-07
P35269	GTF2F1	9695	6483	1.4955451	1.80E-07
Q8NFH8	REPS2	2621	4336	0.6045687	1.84E-07
Q8NFX7	STXBP6	4310	6311	0.6829419	1.85E-07
P48553	TRAPPC10	3033	4304	0.7046815	1.86E-07
Q8N3V7	SYNPO	7067	18848	0.3749536	1.86E-07
P48507	GCLM	32848	54983	0.5974248	1.89E-07
Q9Y2H1	STK38L	10645	14459	0.7362395	1.89E-07
Q6P1X6	C8orf82	10260	16947	0.6054306	1.90E-07
Q6ULP2	AFTPH	2456	3619	0.6787315	1.91E-07
P56937	HSD17B7	36153	23306	1.5512295	1.92E-07
Q01780	EXOSC10	13652	9479	1.4402842	1.93E-07
Q9H1Y0	ATG5	9332	11479	0.8129324	1.94E-07
P50750	CDK9	13386	10585	1.2646347	1.95E-07
P83916	CBX1	57380	40772	1.4073363	1.96E-07
Q9BYD3	MRPL4	13744	18318	0.7502954	1.97E-07
P23258	TUBG1	18381	22458	0.8184347	1.97E-07
O75382	TRIM3	24064	12211	1.9706878	1.97E-07
Q86VN1	VPS36	20061	15843	1.2662292	2.01E-07
P09525	ANXA4	167981	523094	0.32113	2.01E-07
P51148	RAB5C	98000	146136	0.6706108	2.02E-07
Q9UHD1	CHORDC1	38507	24017	1.6033103	2.03E-07
Q9UKY7	CDV3	10637	15720	0.6766494	2.04E-07
Q53FZ2	ACSM3	3593	9226	0.3893957	2.05E-07
Q7KZ85	SUPT6H	15728	12027	1.3077477	2.05E-07
Q9NUL7	DDX28	3993	6373	0.6265569	2.05E-07
Q9Y2K9	STXBP5L	11568	5810	1.9911972	2.06E-07
P38571	LIPA	25619	11736	2.1829561	2.08E-07
Q09161	NCBP1	25777	20308	1.2693095	2.09E-07
A8MXV4	NUDT19	9443	18354	0.5145127	2.15E-07
P51553	IDH3G	25689	41618	0.6172596	2.15E-07
Q9BZE1	MRPL37	15558	20209	0.76987	2.16E-07
Q969Z3	MTARC2	6174	17579	0.351185	2.17E-07
P42345	MTOR	12475	9872	1.2635989	2.18E-07
Q8TF05	PPP4R1	15431	12043	1.2812806	2.19E-07
O00151	PDLIM1	36871	93729	0.3933729	2.22E-07
P0CG37	CFC1	46575	105456	0.4416497	2.25E-07
P07737	PFN1	215546	184787	1.1664545	2.26E-07
O60762	DPM1	40827	63358	0.6443939	2.27E-07
Q9ULF5	SLC39A10	5144	3445	1.4932135	2.27E-07
Q9UJC3	HOOK1	10435	13798	0.7562763	2.27E-07
Q96ST2	IWS1	16501	11168	1.4776002	2.28E-07
Q4G0X4	KCTD21	9597	7017	1.3677573	2.31E-07
P24593	IGFBP5	61129	15242	4.0107093	2.32E-07
O43747	AP1G1	52873	71863	0.7357454	2.34E-07
P63165	SUMO1	53723	42222	1.2724132	2.34E-07
O94826	TOMM70	39393	48634	0.8099738	2.35E-07
Q7Z434	MAVS	27617	20842	1.3250773	2.35E-07
Q8N697	SLC15A4	3921	7259	0.5402289	2.38E-07
P61006	RAB8A	18704	22933	0.815606	2.39E-07
Q9HBL8	NMRAL1	2913	6388	0.4560449	2.42E-07
Q9Y467	SALL2	23203	10838	2.1408192	2.44E-07
Q9H936	SLC25A22	60263	81824	0.7365026	2.45E-07
O43396	TXNL1	84652	103340	0.8191555	2.46E-07
Q86W56	PARG	4137	2704	1.5301148	2.47E-07
O75391	SPAG7	7661	5120	1.4961351	2.47E-07
Q9NSB2	KRT84	4067	10645	0.3820833	2.48E-07
Q8WUD1	RAB2B	9929	14088	0.7047738	2.49E-07
Q15011	HERPUD1	1611	3655	0.4408526	2.49E-07
P16885	PLCG2	12885	5504	2.3410158	2.49E-07
P83111	LACTB	15296	10788	1.4179153	2.49E-07
Q8WY54	PPM1E	5695	10973	0.5190127	2.50E-07
Q96JM2	ZNF462	2023	1010	2.0032736	2.55E-07
Q13137	CALCOCO2	1876	2931	0.6402546	2.55E-07
Q99536	VAT1	619090	1018336	0.6079428	2.56E-07
O00559	EBAG9	2827	5161	0.5477293	2.57E-07
Q02153	GUCY1B1	3568	9034	0.395019	2.57E-07
Q9H330	TMEM245	16076	21338	0.7534254	2.59E-07
O14495	PLPP3	2823	5528	0.5106417	2.59E-07
Q9NZ08	ERAP1	29744	20927	1.4213365	2.61E-07
Q9P2R7	SUCLA2	84556	116127	0.7281318	2.61E-07
Q9BUL5	PHF23	6782	4196	1.6163539	2.63E-07
Q92793	CREBBP	5953	4125	1.4431194	2.63E-07
O94856	NFASC	14825	8546	1.7346203	2.63E-07
Q641Q2	WASHC2A	10841	16084	0.674003	2.67E-07
Q9NVA1	UQCC1	10977	13278	0.8267675	2.67E-07
P55011	SLC12A2	11427	7834	1.4585183	2.69E-07
Q96CX2	KCTD12	192970	90084	2.142124	2.69E-07
Q04206	RELA	10107	15455	0.6539383	2.71E-07
Q495W5	FUT11	6915	4657	1.4848572	2.72E-07
Q9Y6N6	LAMC3	4343	12322	0.3524596	2.72E-07
Q06330	RBPJ	8273	4380	1.8886732	2.73E-07
Q9BZF1	OSBPL8	14337	19313	0.7423432	2.74E-07
P08236	GUSB	25363	13007	1.9499489	2.75E-07
O75643	SNRNP200	71365	54926	1.2992943	2.77E-07
P39748	FEN1	36252	16176	2.241112	2.77E-07
Q7L7V1	DHX32	3881	6061	0.6402925	2.77E-07
Q8NBU5	ATAD1	30373	22563	1.3461412	2.78E-07
Q9NZ09	UBAP1	2981	4463	0.6679707	2.79E-07
Q15436	SEC23A	59313	38715	1.5320382	2.81E-07
Q9NYS0	NKIRAS1	3413	4838	0.7054988	2.83E-07
P61221	ABCE1	33685	40777	0.8260809	2.83E-07
Q9UL15	BAG5	5313	7159	0.7421327	2.85E-07
O15111	CHUK	7973	11057	0.7210428	2.85E-07
P09382	LGALS1	9968	48458	0.2057112	2.86E-07
Q9NR34	MAN1C1	5648	11310	0.4993812	2.91E-07
P19447	ERCC3	5139	3750	1.3704529	2.96E-07
P49411	TUFM	261350	339767	0.7692034	2.97E-07
Q92733	PRCC	2902	1678	1.7300334	2.98E-07
Q6PKG0	LARP1	49498	59138	0.836997	2.98E-07
Q8N3X6	LCORL	4898	3089	1.5854655	2.98E-07
Q13976	PRKG1	2639	5789	0.4558851	2.99E-07
P19404	NDUFV2	68287	97669	0.6991663	2.99E-07
